Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1.1479076147079468,1.095200777053833,0.4528900682926178,0.44144144654273987
1.1075185537338257,1.0778664350509644,0.4762036204338074,0.49742600321769714
1.0975440740585327,1.0390359163284302,0.4813077747821808,0.5727155804634094
1.075654149055481,1.0505329370498657,0.5348324179649353,0.5
1.0556721687316895,1.0658918619155884,0.5595254302024841,0.5231660008430481
1.0198601484298706,1.0126044750213623,0.6062905192375183,0.5566280484199524
0.9686683416366577,1.03815758228302,0.6262933015823364,0.5797941088676453
0.9347466826438904,1.0324361324310303,0.6596772074699402,0.5778635740280151
0.8947988152503967,0.8640345931053162,0.6738860607147217,0.6788932085037231
0.8689382672309875,0.7886334657669067,0.6925092935562134,0.7129986882209778
0.8432011604309082,0.8647557497024536,0.7058904767036438,0.6833977103233337
0.8385388851165771,0.8663791418075562,0.7112705111503601,0.6673101782798767
0.8226926326751709,0.8481658697128296,0.7184439301490784,0.6898326873779297
0.8129770755767822,0.7947923541069031,0.7212029099464417,0.7271557450294495
0.804885745048523,0.8193562030792236,0.7281004190444946,0.7059202194213867
0.7877956032752991,0.7880582213401794,0.729203999042511,0.7245817184448242
0.7881345748901367,0.8023242354393005,0.7345840930938721,0.7117117047309875
0.7761914730072021,0.7614780068397522,0.7377569079399109,0.739382266998291
0.7629041075706482,0.7590629458427429,0.7463098168373108,0.7277992367744446
0.750957727432251,0.7914445400238037,0.750862181186676,0.7175031900405884
0.7618204355239868,0.7606526613235474,0.7453441619873047,0.7355212569236755
0.741267204284668,0.7639920711517334,0.7497586011886597,0.745817244052887
0.7395673990249634,0.8457462787628174,0.7486549615859985,0.7123551964759827
0.7243058085441589,0.7809650897979736,0.7538970708847046,0.7316602468490601
0.7276262044906616,0.7071686387062073,0.7552765607833862,0.7567567825317383
0.7272316813468933,0.7658646702766418,0.755138635635376,0.7329472303390503
0.7209839224815369,0.7496726512908936,0.7602428197860718,0.7496782541275024
0.72371906042099,0.7024157643318176,0.7581735253334045,0.7683397531509399
0.7108833193778992,0.8082470297813416,0.7667264342308044,0.7220077514648438
0.7219300866127014,0.7004444003105164,0.7607945799827576,0.7722007632255554
0.7164549827575684,0.7030066847801208,0.7649331092834473,0.7709137797355652
0.717121958732605,0.7473098039627075,0.7595530152320862,0.738095223903656
0.7062498331069946,0.6970037221908569,0.7621740698814392,0.7709137797355652
0.7070934176445007,0.7708064913749695,0.7638294696807861,0.7355212569236755
0.6956759691238403,0.7062777876853943,0.7710028886795044,0.7709137797355652
0.7000373601913452,0.8051441311836243,0.7652090191841125,0.7400257587432861
0.70643150806427,0.7695841789245605,0.7634156346321106,0.7425997257232666
0.6857510209083557,0.7396146059036255,0.774175763130188,0.7413127422332764
0.6786985993385315,0.7151902318000793,0.7730721235275269,0.7651222944259644
0.6861026287078857,0.6928585767745972,0.7743136882781982,0.7689832448959351
0.6834975481033325,0.7019292712211609,0.769761323928833,0.7599742412567139
0.6859700083732605,0.7451381087303162,0.7711408734321594,0.7554697394371033
0.6757854223251343,0.7893869280815125,0.7719685435295105,0.738095223903656
0.68068528175354,0.7279750108718872,0.7745895981788635,0.7561132311820984
0.6770229339599609,0.7450634837150574,0.774037778377533,0.7516087293624878
0.6721164584159851,0.8065081238746643,0.7785901427268982,0.7342342138290405
0.6670441627502441,0.7207453846931458,0.7754173278808594,0.7722007632255554
0.6781363487243652,0.7651538252830505,0.7756931781768799,0.7548262476921082
0.6681194305419922,0.6958471536636353,0.7774865627288818,0.7728442549705505
0.6565046310424805,0.792991042137146,0.7806593775749207,0.7516087293624878
0.6559783220291138,0.7595235109329224,0.7821768522262573,0.7631917595863342
0.6571623086929321,0.7497249245643616,0.7809352874755859,0.7483912706375122
0.6497315764427185,0.7359628677368164,0.7857635617256165,0.7644787430763245
0.6391069293022156,0.6840919256210327,0.7813491225242615,0.769626796245575
0.6406246423721313,0.7830886244773865,0.7859014868736267,0.7438867688179016
0.6514589190483093,0.8207769989967346,0.7842460870742798,0.7419562339782715
0.6498289108276367,0.7947887778282166,0.7820389270782471,0.7265122532844543
0.6432333588600159,0.7524964809417725,0.783556342124939,0.7535392642021179
0.6438841819763184,0.7445905208587646,0.7881087064743042,0.7612612843513489
0.6374431252479553,0.783412516117096,0.7875568866729736,0.7483912706375122
0.6354310512542725,0.7515192031860352,0.791419506072998,0.7586872577667236
0.6281264424324036,0.7119737863540649,0.7897641062736511,0.7786357998847961
0.6303317546844482,0.7177258133888245,0.7883846163749695,0.7709137797355652
0.6313633322715759,0.8072840571403503,0.7876948714256287,0.7374517321586609
0.627669632434845,0.8114773035049438,0.7889363765716553,0.7509652376174927
0.6160383820533752,0.7343606352806091,0.7901779413223267,0.7574002742767334
0.6170504689216614,0.7647644877433777,0.795695960521698,0.7586872577667236
0.6176803112030029,0.6995636820793152,0.7969375252723694,0.7779922485351562
0.621648907661438,0.8903509378433228,0.7910056710243225,0.7348777055740356
0.6138576865196228,0.7346814274787903,0.7952821254730225,0.7676962614059448
0.6125633716583252,0.7164371013641357,0.7954200506210327,0.7644787430763245
0.6112310886383057,0.8536683320999146,0.7937646508216858,0.730373203754425
0.6089963316917419,0.7463482618331909,0.7962477803230286,0.761904776096344
0.602112889289856,0.7695291042327881,0.7963857054710388,0.7599742412567139
0.6072821021080017,0.7990218997001648,0.7969375252723694,0.7580437660217285
